dropout_rate,snr_degradation_db,black_chip_rate,method_a,method_b,n_pairs,statistic,p_value,mean_diff,effect_size,ci_low,ci_high,significant,metric,test,correction
0.0,0.0,0.05,fedcs,hfl_no_selection,16,10.0,0.001312255859375,-0.01355104608002921,-0.8529411764705882,-0.019924885725063693,-0.006891018635243057,False,accuracy,wilcoxon,holm
0.0,3.0,0.0,fair_mab,fedcs,16,10.0,0.001312255859375,0.015179562196859772,0.8529411764705882,0.008348531743467266,0.022074176300534928,False,accuracy,wilcoxon,holm
0.1,0.0,0.0,fedcs,proposed_hfl,16,11.0,0.001678466796875,-0.015312866481905385,-0.8382352941176471,-0.022214107522976475,-0.008164196350689282,False,accuracy,wilcoxon,holm
0.3,0.0,0.0,fedcs,mozaffari2016,16,12.0,0.00213623046875,-0.011663757435462274,-0.8235294117647058,-0.01735843816580828,-0.005986608288416736,False,accuracy,wilcoxon,holm
0.0,0.0,0.1,hfl_no_selection,oort,16,12.0,0.00213623046875,0.01756449220759638,0.8235294117647058,0.00825533296569795,0.026318550892834334,False,accuracy,wilcoxon,holm
0.0,3.0,0.0,oort,proposed_hfl,16,14.0,0.00335693359375,-0.013579101984351971,-0.7941176470588235,-0.0213588844877292,-0.006057986736039506,False,accuracy,wilcoxon,holm
0.2,0.0,0.0,alzenad2017,fedcs,16,15.0,0.004180908203125,0.019522098791891894,0.7794117647058824,0.009804079429395743,0.029358553202782658,False,accuracy,wilcoxon,holm
0.0,0.0,0.1,fedcs,hfl_no_selection,16,15.0,0.004180908203125,-0.011434163569798705,-0.7794117647058824,-0.01664388790569209,-0.005888243459859519,False,accuracy,wilcoxon,holm
0.0,3.0,0.0,alzenad2017,oort,16,16.0,0.005157470703125,0.015322296700445562,0.7647058823529411,0.006840037361522173,0.024498793135496785,False,accuracy,wilcoxon,holm
0.0,0.0,0.2,fair_mab,fedcs,16,16.0,0.005157470703125,0.01251777840483282,0.7647058823529411,0.006005441964407925,0.018928184793414533,False,accuracy,wilcoxon,holm
0.0,3.0,0.0,fedcs,mozaffari2016,16,16.0,0.005157470703125,-0.014125632674250349,-0.7647058823529411,-0.023073651798372674,-0.005457729720447835,False,accuracy,wilcoxon,holm
0.1,0.0,0.0,alzenad2017,fedcs,16,17.0,0.00628662109375,0.01757334915021086,0.75,0.007991923412925301,0.027097304759067926,False,accuracy,wilcoxon,holm
0.0,3.0,0.0,fedcs,hfl_no_selection,16,17.0,0.00628662109375,-0.01306569198743962,-0.75,-0.020608071898094202,-0.005838386186750689,False,accuracy,wilcoxon,holm
0.0,0.0,0.2,alzenad2017,fedcs,16,18.0,0.00762939453125,0.008921990139808801,0.7352941176470589,0.0032222568105463277,0.014280513933954776,False,accuracy,wilcoxon,holm
0.0,6.0,0.0,hfl_no_selection,oort,16,19.0,0.009185791015625,0.00998148573109784,0.7205882352941176,0.0026427175908320896,0.016980041260312762,False,accuracy,wilcoxon,holm
0.0,10.0,0.0,hfl_no_selection,mozaffari2016,16,19.0,0.009185791015625,0.017268912518363377,0.7205882352941176,0.006269570673907227,0.028216062897319958,False,accuracy,wilcoxon,holm
0.2,0.0,0.0,fair_mab,oort,16,15.0,0.010593539088689496,0.015235882519575403,0.75,0.006046203552517334,0.024959149038255878,False,accuracy,wilcoxon,holm
0.0,6.0,0.0,fair_mab,fedcs,16,22.0,0.0155029296875,0.011612251490660336,0.6764705882352942,0.002628962762491971,0.018792159065868036,False,accuracy,wilcoxon,holm
0.3,0.0,0.0,alzenad2017,mozaffari2016,16,22.0,0.0155029296875,0.00618895378866615,0.6764705882352942,0.0012137408738040762,0.011549705089530056,False,accuracy,wilcoxon,holm
0.3,0.0,0.0,fedcs,proposed_hfl,16,22.0,0.0155029296875,-0.01252986275921246,-0.6764705882352942,-0.020282585716789623,-0.004926433514782051,False,accuracy,wilcoxon,holm
0.3,0.0,0.0,fedcs,hfl_no_selection,16,24.0,0.021392822265625,-0.01137066998526913,-0.6470588235294118,-0.019279710363271977,-0.003722472496640365,False,accuracy,wilcoxon,holm
0.2,0.0,0.0,fair_mab,proposed_hfl,16,25.0,0.02496337890625,0.007491572036128796,0.6323529411764706,0.0021832507736473223,0.012613331156593924,False,accuracy,wilcoxon,holm
0.0,0.0,0.2,fedcs,hfl_no_selection,16,25.0,0.02496337890625,-0.010738193282157221,-0.6323529411764706,-0.018102104882753836,-0.003485397695331245,False,accuracy,wilcoxon,holm
0.0,0.0,0.2,fedcs,mozaffari2016,16,26.0,0.02899169921875,-0.009401746724539924,-0.6176470588235294,-0.01640444055786158,-0.002128573932498928,False,accuracy,wilcoxon,holm
0.3,0.0,0.0,fedcs,oort,16,26.0,0.02899169921875,-0.010609809966192832,-0.6176470588235294,-0.019251930669889034,-0.0015579757499158376,False,accuracy,wilcoxon,holm
0.2,0.0,0.0,alzenad2017,proposed_hfl,16,26.0,0.02899169921875,0.010106936673023127,0.6176470588235294,0.0020134769781309466,0.017409959981258275,False,accuracy,wilcoxon,holm
0.0,0.0,0.0,fedcs,oort,16,27.0,0.033538818359375,0.006633112447372226,0.6029411764705882,0.0011338887420488056,0.012026929902163093,False,accuracy,wilcoxon,holm
