method,round,accuracy,macro_f1,fairness,comm_cost
utility_only,18,0.6924265842349304,0.35056147886545386,0.6287169042768028,2.880000000000002
utility_only,19,0.6877897990726429,0.3523636838185602,0.625108225108056,2.980000000000002
utility_only,20,0.7349304482225657,0.36945318704591734,0.6239128261519985,3.1000000000000023
utility_only,21,0.7132921174652241,0.35757157391767896,0.622837451357161,3.2000000000000024
utility_only,22,0.7132921174652241,0.36916422200815935,0.6210720887244475,3.3000000000000025
utility_only,23,0.7256568778979907,0.3579607840990905,0.6185845047399848,3.4200000000000026
utility_only,24,0.7434312210200927,0.3654530547500797,0.6158290884207756,3.5400000000000027
utility_only,25,0.7333848531684699,0.369475756209719,0.6141592609503997,3.680000000000003
utility_only,26,0.7442040185471407,0.36358402778546034,0.6123657663519994,3.820000000000003
utility_only,27,0.7418856259659969,0.4019905851055263,0.6117841242919816,3.960000000000003
utility_only,28,0.7256568778979907,0.38307455329496604,0.6109698921085959,4.1000000000000005
utility_only,29,0.7380216383307573,0.37110350347466875,0.6099733445936225,4.219999999999998
utility_only,30,0.740340030911901,0.40090052598929704,0.6088353016750743,4.359999999999995
fedcs,1,0.10510046367851623,0.10656884388075027,0.6428571428061225,0.18
fedcs,2,0.13446676970633695,0.1327440315904636,0.6428571428443878,0.34
fedcs,3,0.3160741885625966,0.22877723404230582,0.642857142851474,0.5200000000000001
fedcs,4,0.4250386398763524,0.25522527334707285,0.6428571428539541,0.7000000000000003
fedcs,5,0.5394126738794436,0.31424039955264416,0.6428571428551021,0.8800000000000004
fedcs,6,0.625193199381762,0.34328236653426997,0.6428571428557256,1.0600000000000005
fedcs,7,0.6391035548686245,0.3428495168659348,0.6428571428561016,1.2400000000000007
fedcs,8,0.6545595054095827,0.3529293456440058,0.6428571428563457,1.4000000000000008
fedcs,9,0.6931993817619784,0.36558949469863733,0.642857142856513,1.580000000000001
fedcs,10,0.6854714064914992,0.36501800455634653,0.6422085292681674,1.740000000000001
fedcs,11,0.6754250386398764,0.35633917591264763,0.6406781969218026,1.9000000000000012
fedcs,12,0.6669242658423493,0.37225289702806996,0.6386861313864913,2.0600000000000014
fedcs,13,0.6955177743431221,0.37474685782796,0.6364769215428987,2.2200000000000015
fedcs,14,0.7086553323029366,0.37086969242779577,0.6372856272305052,2.3800000000000017
fedcs,15,0.723338485316847,0.3746401841502959,0.6373420145535666,2.520000000000002
fedcs,16,0.660741885625966,0.3637620429286482,0.6345546864276675,2.660000000000002
fedcs,17,0.6978361669242659,0.3567488534699779,0.6317042606514311,2.780000000000002
fedcs,18,0.7117465224111282,0.3500144092580552,0.6287169042768028,2.880000000000002
fedcs,19,0.6893353941267388,0.3490331887067833,0.625108225108056,2.980000000000002
fedcs,20,0.7341576506955177,0.3740556237848722,0.6239128261519985,3.1000000000000023
fedcs,21,0.7357032457496137,0.3634718959481321,0.622837451357161,3.2000000000000024
fedcs,22,0.7117465224111282,0.36555575185195677,0.6210720887244475,3.3000000000000025
fedcs,23,0.7434312210200927,0.3647107414093047,0.6185845047399848,3.4200000000000026
fedcs,24,0.7519319938176198,0.37166331718979684,0.6158290884207756,3.5400000000000027
fedcs,25,0.7387944358578052,0.375167571227207,0.6141592609503997,3.680000000000003
fedcs,26,0.740340030911901,0.3520734677044094,0.6123657663519994,3.820000000000003
fedcs,27,0.7310664605873262,0.37855033921752673,0.6117841242919816,3.960000000000003
fedcs,28,0.7488408037094282,0.372640412457525,0.6109698921085959,4.1000000000000005
fedcs,29,0.7372488408037094,0.3790848394826187,0.6099733445936225,4.219999999999998
fedcs,30,0.7256568778979907,0.37601505297323284,0.6088353016750743,4.359999999999995
