scenario,method_a,method_b,n_pairs,statistic,p_value,mean_diff,effect_size,ci_low,ci_high,significant,correction_scope,reference,metric,test,correction
uniform_N250_K10,alzenad2017,ga,30,56.0,0.00011058151721954346,0.016682157882949147,0.7591397849462366,0.009837721546846444,0.023566728649145118,True,table,,final_fitness,wilcoxon,holm
real_N250_K10,ga,pso,30,68.0,0.0003800932317972183,-0.014386984627149517,-0.7075268817204301,-0.021296925378025806,-0.007108232297043993,True,table,,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,centroid,ga,30,85.0,0.001718590036034584,0.04205418843856295,0.6344086021505376,0.01937818607182941,0.06534211205372616,True,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,random,static,30,90.0,0.002560090273618698,0.026469516408488738,0.6129032258064516,0.01103371469176899,0.04113085837112044,True,table,,final_fitness,wilcoxon,holm
clustered_N250_K10,alzenad2017,centroid,30,90.0,0.002560090273618698,-0.018846093250237988,-0.6129032258064516,-0.029203203589206528,-0.008569786832499584,True,table,,final_fitness,wilcoxon,holm
clustered_N250_K10,alzenad2017,ga,30,105.0,0.007612137123942375,-0.020795679427349074,-0.5483870967741935,-0.034623500589978505,-0.0067965132607058516,False,table,,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,random,static,30,121.0,0.02084985189139843,-0.0973911743269703,-0.47956989247311826,-0.17144172733508015,-0.02083860354291588,False,table,,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,alzenad2017,static,30,125.0,0.026228994131088257,0.1224620442449594,0.46236559139784944,0.04283091038445055,0.20147237502280502,False,table,,final_fitness,wilcoxon,holm
clustered_N250_K10,mozaffari2016,static,30,130.0,0.034536734223365784,0.02704566665872351,0.44086021505376344,-0.00815031395350528,0.058856142418195506,False,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,ga,pso,30,145.0,0.07324407435953617,0.006033767510390662,0.3763440860215054,-8.89963433372403e-05,0.01228976016612733,False,table,,final_fitness,wilcoxon,holm
real_N250_K10,alzenad2017,ga,30,160.0,0.140283040702343,-0.004892889074221389,-0.3118279569892473,-0.011158459575638477,0.0015373530885829793,False,table,,final_fitness,wilcoxon,holm
clustered_N250_K10,centroid,ga,30,213.0,0.7000329215079546,-0.0019495861771110826,-0.08387096774193549,-0.01675834145571995,0.013067335510764253,False,table,,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,mozaffari2016,static,30,231.0,0.9838335812091827,-0.0022922237478185292,0.0064516129032258064,-0.08448651074996996,0.07927951354596052,False,table,,final_fitness,wilcoxon,holm
