number,value,datetime_start,datetime_complete,duration,params_ema_decay,params_fitness_0,params_fitness_1,params_fitness_2,params_logit_adjust_tau,params_lr,params_lr_decay,params_reputation_0,params_reputation_1,params_reputation_2,params_sel_gumbel_scale,params_sel_priority_0,params_sel_priority_1,params_sel_static_blend,params_server_momentum,params_utility_0,params_utility_1,params_utility_2,params_utility_3,state
35,-inf,2026-08-26 03:40:49.474464,2026-08-26 03:40:49.747363,0 days 00:00:00.272899,0.2793303016896835,0.7829936285409491,0.3573308161064746,0.8707583679286077,0.990078526592708,0.04480942422111139,cosine,0.4739071567597384,0.040149271462180836,0.25842749074452886,0.9714005527250711,0.7406064991927219,0.16426509673491257,0.4352480887333097,0.7051619750297796,0.5905422706937824,0.30652425690488216,0.5556810008069275,0.20482448214652468,COMPLETE
36,-inf,2026-08-26 03:40:49.769985,2026-08-26 03:40:50.059283,0 days 00:00:00.289298,0.40277039427669015,0.8953424644131198,0.09195795333292607,0.6645077428491704,1.5297277656552104,0.05819652706400862,cosine,0.6710522791481042,0.11660793445965492,0.36312602415266204,1.3752777154907114,0.537532725116767,0.763363315143239,0.3370316388034718,0.8351525698189224,0.7153991517312291,0.3793281701787205,0.6210598936469657,0.15894480633801483,COMPLETE
37,-inf,2026-08-26 03:40:50.073848,2026-08-26 03:40:50.345819,0 days 00:00:00.271971,0.5033300228151997,0.13401666213188645,0.2774679210721238,0.7773400892363229,1.3724361286550195,0.03355574668815801,none,0.6455236305263218,0.18219511625907883,0.41781758484485654,0.3376541088352419,0.4882090241609038,0.6125470377189483,0.25602088852820154,0.6954547335428446,0.8154570389589868,0.09742187664600688,0.737972323055812,0.3050591539063596,COMPLETE
38,-inf,2026-08-26 03:40:50.360522,2026-08-26 03:40:50.626657,0 days 00:00:00.266135,0.168396832332241,0.7676524948432822,0.7569140505689409,0.8314001119221466,1.7047685933417946,0.08399058789217621,sqrt,0.42544801412645306,0.09616354185422893,0.47433465642964945,0.9526600250172854,0.6408096242911331,0.46595930961055326,0.4293641443737243,0.8898620195047038,0.5468853831155698,0.15744707111539352,0.8454764350718352,0.4931788279037426,COMPLETE
39,-inf,2026-08-26 03:40:50.641141,2026-08-26 03:40:50.899289,0 days 00:00:00.258148,0.07542952638531332,0.869398604115134,0.09408897299233165,0.27814841443353294,0.8255112772588346,0.022006019467855888,cosine,0.5381223987567262,0.3250631367477956,0.5738708443063711,0.1686831155037588,0.7882439399887352,0.363908520252835,0.35985622306011794,0.7695019119062863,0.8935024715999127,0.21866936638517342,0.9070341693234717,0.37234299557102557,COMPLETE
40,-inf,2026-08-26 03:40:50.913925,2026-08-26 03:40:51.193917,0 days 00:00:00.279992,0.3475324939550963,0.9854432171475337,0.19295809202037187,0.8449536827304333,1.8893831388576758,0.014472863644449475,none,0.6679751021964982,0.22324685346508877,0.9960420736502344,0.6491644340472112,0.7165905670625896,0.44008405771257086,0.21152059317319294,0.3964336755993341,0.7410719504050352,0.9071975625399985,0.5219187232581138,0.5749482706860871,COMPLETE
41,-inf,2026-08-26 03:40:51.209491,2026-08-26 03:40:51.486941,0 days 00:00:00.277450,0.5457612526547513,0.2607058296264402,0.4220002704669011,0.9513517980955337,1.6549597033850492,0.011759948720771133,cosine,0.9167366262503653,0.4592370254650442,0.6869256698208692,1.255468085921957,0.39331823752237005,0.7964752761420875,0.09096600469096223,0.467949616189766,0.664347735296026,0.5558445901234098,0.40232268758917566,0.05214977565370495,COMPLETE
42,-inf,2026-08-26 03:40:51.501244,2026-08-26 03:40:51.762100,0 days 00:00:00.260856,0.6242996028680428,0.11621176893736423,0.4738279354559777,0.7412697413885706,1.4966053850035408,0.019363606421272904,cosine,0.8329669936822063,0.6868990235932949,0.744244847214262,1.3551913377810982,0.5962590785216995,0.4057042407872502,0.27873247327188067,0.5513188627879019,0.9372790571384714,0.48952862238989264,0.21610209663236463,0.11053731738313313,COMPLETE
43,-inf,2026-08-26 03:40:51.776463,2026-08-26 03:40:52.045527,0 days 00:00:00.269064,0.44562757842787576,0.32054865045271763,0.39164971154752976,0.918297397000986,1.7799196677675206,0.00995222834037223,cosine,0.7768721901842175,0.6190689028685934,0.807807524123595,1.1261250923306099,0.45490869730589717,0.503237811256025,0.08615216074347234,0.4094211312994882,0.8615261115577357,0.6271253109039712,0.2543938105068594,0.20117020825162502,COMPLETE
44,-inf,2026-08-26 03:40:52.059738,2026-08-26 03:40:52.316707,0 days 00:00:00.256969,0.569633652145405,0.20657325382483058,0.23426398709291324,0.9859030484474837,0.19090378178010298,0.029005246717104055,cosine,0.8421603128215525,0.28282915090902455,0.5320678084266323,1.48021136198785,0.6158118781357887,0.30447479837469665,0.1860441822406756,0.27412775310704096,0.7878126611254737,0.543994833864364,0.31917131840447255,0.09701507087386535,COMPLETE
45,-inf,2026-08-26 03:40:52.331403,2026-08-26 03:40:52.600821,0 days 00:00:00.269418,0.7057218400878714,0.9172884132930346,0.542715590130668,0.8621158021064067,1.9936505744202981,0.04390184579125362,none,0.7921026929130802,0.5158816249104418,0.639276681700427,0.5528589841159918,0.5727892399200365,0.19339901942677776,0.03583132563681679,0.3722301444630374,0.9326617815962159,0.7157525555911817,0.12493480762925924,0.14790035440818788,COMPLETE
46,-inf,2026-08-26 03:40:52.623606,2026-08-26 03:40:52.940984,0 days 00:00:00.317378,0.4153216205875771,0.23854758224433936,0.3134517782630991,0.604165240832029,1.405806089588657,0.016236257135954075,sqrt,0.8703912552017551,0.3594539145593866,0.444994514354739,0.9387347421366401,0.8344418429546037,0.5840042693800885,0.14039222566175658,0.4610328630179755,0.8680875481742584,0.6548664779121618,0.08475187895009612,0.25901537880074454,COMPLETE
47,-inf,2026-08-26 03:40:52.955250,2026-08-26 03:40:53.220845,0 days 00:00:00.265595,0.2586014406544615,0.06708504533598636,0.5140765610112831,0.9889853242400091,1.5469196218634755,0.058206364297224214,cosine,0.9436109079838985,0.5763842465924888,0.8605315596608709,1.020432249839106,0.7645222372563184,0.654689276748143,0.31850783729277193,0.33534632127170694,0.782697270344364,0.4181023409248242,0.7428907918086345,0.4214985154930678,COMPLETE
48,-inf,2026-08-26 03:40:53.235187,2026-08-26 03:40:53.498775,0 days 00:00:00.263588,0.18754015731206564,0.3337868187180246,0.17789729927765693,0.7943714214128074,0.7014201710020259,0.02423140559920671,none,0.730908459103689,0.4376661770741768,0.7070285081548235,1.1907763208484834,0.69388546751068,0.519855271837896,0.3856295480642836,0.5159927842730997,0.9980260819319897,0.5002633947867875,0.26731538441895264,0.3340207523238745,COMPLETE
49,-inf,2026-08-26 03:40:53.512975,2026-08-26 03:40:53.772166,0 days 00:00:00.259191,0.2363497089845618,0.40138060979350765,0.2369336948850271,0.743962049035318,0.9238956457280116,0.07597959702405752,cosine,0.9214551665209634,0.21280650508486734,0.5937712934840926,1.061758129187659,0.5303367349348642,0.8411580734255876,0.7423524044783425,0.2773692146330466,0.8248487421818206,0.05886765468719632,0.06548854422868011,0.2086514440099222,COMPLETE
