dropout_rate,snr_degradation_db,black_chip_rate,method_a,method_b,n_pairs,statistic,p_value,mean_diff,effect_size,ci_low,ci_high,significant,correction_scope,reference,metric,test,correction
0.0,10.0,0.0,proposed_hfl,alzenad2017,16,56.0,0.5618896484375,-0.009541749749824722,-0.17647058823529413,-0.03477394495800574,0.013984693987543604,False,group,proposed_hfl,macro_f1,wilcoxon,holm
0.4,0.0,0.0,proposed_hfl,fair_mab,16,56.0,0.5618896484375,0.009151727745351525,0.17647058823529413,-0.005606853583337225,0.02640290837591995,False,group,proposed_hfl,macro_f1,wilcoxon,holm
0.4,0.0,0.0,proposed_hfl,oort,16,56.0,0.5618896484375,-0.003920343316397703,-0.17647058823529413,-0.015453126622258744,0.007804102739550118,False,group,proposed_hfl,macro_f1,wilcoxon,holm
0.3,0.0,0.0,proposed_hfl,mozaffari2016,16,57.0,0.596588134765625,-0.004299916607506751,-0.16176470588235295,-0.015878865012608382,0.007530897643493407,False,group,proposed_hfl,macro_f1,wilcoxon,holm
0.2,0.0,0.0,proposed_hfl,alzenad2017,16,57.0,0.596588134765625,-0.005272811890702823,-0.16176470588235295,-0.017492708998144653,0.005992905386196852,False,group,proposed_hfl,macro_f1,wilcoxon,holm
0.4,0.0,0.0,proposed_hfl,mozaffari2016,16,58.0,0.632171630859375,-0.0027279397611270906,-0.14705882352941177,-0.012334597926525838,0.006412486303554211,False,group,proposed_hfl,macro_f1,wilcoxon,holm
0.0,6.0,0.0,proposed_hfl,fair_mab,16,61.0,0.743560791015625,0.0017785247628320199,0.10294117647058823,-0.019872821107930774,0.021583261931391873,False,group,proposed_hfl,macro_f1,wilcoxon,holm
0.1,0.0,0.0,proposed_hfl,mozaffari2016,16,62.0,0.781951904296875,0.00157091353484844,0.08823529411764706,-0.007853185502676266,0.010674863528758047,False,group,proposed_hfl,macro_f1,wilcoxon,holm
0.2,0.0,0.0,proposed_hfl,fair_mab,16,63.0,0.820892333984375,-0.002322815705406437,-0.07352941176470588,-0.01520712731171411,0.010486723523185928,False,group,proposed_hfl,macro_f1,wilcoxon,holm
0.3,0.0,0.0,proposed_hfl,fair_mab,16,63.0,0.820892333984375,0.003504105043753515,0.07352941176470588,-0.01345566776987816,0.0200103991545708,False,group,proposed_hfl,macro_f1,wilcoxon,holm
0.0,0.0,0.1,proposed_hfl,mozaffari2016,16,63.0,0.820892333984375,0.002931712243425342,0.07352941176470588,-0.011526280168434034,0.018549830832877322,False,group,proposed_hfl,macro_f1,wilcoxon,holm
0.0,6.0,0.0,proposed_hfl,oort,16,64.0,0.860260009765625,-0.0002645854128640428,0.058823529411764705,-0.020580154323026033,0.018107679307391943,False,group,proposed_hfl,macro_f1,wilcoxon,holm
0.0,10.0,0.0,proposed_hfl,fair_mab,16,64.0,0.860260009765625,0.004937241390254411,0.058823529411764705,-0.02269461263453771,0.03411500213860802,False,group,proposed_hfl,macro_f1,wilcoxon,holm
0.0,0.0,0.05,proposed_hfl,fair_mab,16,65.0,0.899932861328125,0.002923991736451581,0.04411764705882353,-0.011614040800691472,0.018426484820457622,False,group,proposed_hfl,macro_f1,wilcoxon,holm
0.1,0.0,0.0,proposed_hfl,alzenad2017,16,65.0,0.899932861328125,0.0003704221871455825,-0.04411764705882353,-0.012068439015601813,0.013341857993798632,False,group,proposed_hfl,macro_f1,wilcoxon,holm
0.0,0.0,0.05,proposed_hfl,mozaffari2016,16,65.0,0.899932861328125,0.0028192918821191466,0.04411764705882353,-0.012671144279927425,0.019152024250567504,False,group,proposed_hfl,macro_f1,wilcoxon,holm
0.0,0.0,0.0,proposed_hfl,fair_mab,16,66.0,0.93988037109375,0.0010008425974251424,0.029411764705882353,-0.013482235047500075,0.015290495906386292,False,group,proposed_hfl,macro_f1,wilcoxon,holm
0.1,0.0,0.0,proposed_hfl,fair_mab,16,66.0,0.93988037109375,0.00046109379416147886,0.029411764705882353,-0.010216445545271074,0.011905784085977986,False,group,proposed_hfl,macro_f1,wilcoxon,holm
0.0,0.0,0.0,proposed_hfl,mozaffari2016,16,67.0,0.979949951171875,-0.001821726846852105,-0.014705882352941176,-0.014439801807114043,0.010131830589595735,False,group,proposed_hfl,macro_f1,wilcoxon,holm
