N,method_a,method_b,n_pairs,statistic,p_value,mean_diff,effect_size,ci_low,ci_high,significant,metric,test,correction
50,alzenad2017,mozaffari2016,10,10.0,0.083984375,-0.007798490873704589,-0.6363636363636364,-0.014249372863918664,-0.001809626355088376,False,accuracy,wilcoxon,holm
200,fair_mab,power_of_choice,10,10.0,0.083984375,0.005192353778042646,0.6363636363636364,0.000343591462955359,0.008836363514067292,False,accuracy,wilcoxon,holm
200,alzenad2017,hfl_no_reputation,10,10.0,0.083984375,0.0076800852971029565,0.6363636363636364,0.0010167569049712684,0.014590374758224157,False,accuracy,wilcoxon,holm
200,hfl_static,mozaffari2016,10,11.0,0.10546875,0.006243241007472311,0.6,0.0003780402026941707,0.011713527071356809,False,accuracy,wilcoxon,holm
200,alzenad2017,fair_mab,10,11.0,0.10546875,0.005027452199540494,0.6,-0.0003303183699981387,0.00983244387484593,False,accuracy,wilcoxon,holm
50,alzenad2017,power_of_choice,10,11.0,0.10546875,0.010976141206842916,0.6,-0.003201220952013512,0.023970431550662585,False,accuracy,wilcoxon,holm
100,alzenad2017,hfl_static,10,11.0,0.10546875,0.007140141923107668,0.6,0.0003614137989781314,0.01448872460804475,False,accuracy,wilcoxon,holm
30,fair_mab,hfl_static,10,11.0,0.10546875,0.017223893788077073,0.6,0.0035667778274235287,0.030923146784464117,False,accuracy,wilcoxon,holm
50,hfl_no_reputation,hfl_static,10,11.0,0.10546875,0.010551966169351857,0.6,0.000957880914239365,0.020998640652765854,False,accuracy,wilcoxon,holm
100,fair_mab,hfl_no_selection,10,11.0,0.10546875,-0.007952023540377162,-0.6,-0.015503901172512123,-0.00067834315399412,False,accuracy,wilcoxon,holm
100,flat_fl,hfl_no_reputation,10,11.0,0.10546875,-0.005188059116834076,-0.6,-0.010744311649069364,0.00035926375737027583,False,accuracy,wilcoxon,holm
30,flat_fl,mozaffari2016,10,11.0,0.10546875,0.009194040161265682,0.6,-0.0006526648473606549,0.01921468741711184,False,accuracy,wilcoxon,holm
50,fedcs,hfl_no_reputation,10,12.0,0.130859375,0.010686133476841919,0.5636363636363636,0.0009340518176843639,0.020838161629340355,False,accuracy,wilcoxon,holm
30,hfl_no_selection,proposed_hfl,10,12.0,0.130859375,-0.00944082224556142,-0.5636363636363636,-0.019919412939598664,0.0011613182518616448,False,accuracy,wilcoxon,holm
30,fair_mab,hfl_no_selection,10,12.0,0.130859375,0.016867773285650832,0.5636363636363636,-0.0014182105285488094,0.03751351775553826,False,accuracy,wilcoxon,holm
50,fedcs,proposed_hfl,10,12.0,0.130859375,0.01078584494317173,0.5636363636363636,0.0009388027837532628,0.022076362499818362,False,accuracy,wilcoxon,holm
200,hfl_no_reputation,hfl_no_selection,10,12.0,0.130859375,0.006028832626276048,0.5636363636363636,-0.0009041349799623691,0.012749386487809785,False,accuracy,wilcoxon,holm
50,hfl_no_reputation,hfl_no_selection,10,12.0,0.130859375,0.01366385114565848,0.5636363636363636,-0.00023429090910693514,0.027121237610514506,False,accuracy,wilcoxon,holm
200,flat_fl,hfl_static,10,12.0,0.130859375,0.003340016171047122,0.5636363636363636,-6.726203623057202e-05,0.006943218888248738,False,accuracy,wilcoxon,holm
200,oort,proposed_hfl,10,12.0,0.130859375,-0.005495323888055426,-0.5636363636363636,-0.011098009253812038,0.00032031547145028837,False,accuracy,wilcoxon,holm
100,oort,rep_cap,10,12.0,0.130859375,-0.005916958189745314,-0.5636363636363636,-0.011890074327588991,0.00018868048804741104,False,accuracy,wilcoxon,holm
30,fedcs,oort,10,13.0,0.16015625,-0.010496766466012719,-0.5272727272727272,-0.021722148453054483,0.002800154345364425,False,accuracy,wilcoxon,holm
100,flat_fl,power_of_choice,10,13.0,0.16015625,0.005682196737313872,0.5272727272727272,-0.0002782297647322212,0.011938281623168814,False,accuracy,wilcoxon,holm
50,flat_fl,hfl_no_reputation,10,13.0,0.16015625,-0.010492197546258542,-0.5272727272727272,-0.020939598011327526,-0.0009207326578023466,False,accuracy,wilcoxon,holm
30,alzenad2017,hfl_static,10,13.0,0.16015625,0.008463274620768357,0.5272727272727272,0.0006054716607805932,0.016729325130683644,False,accuracy,wilcoxon,holm
30,fair_mab,fedcs,10,13.0,0.16015625,0.011248674610627918,0.5272727272727272,-0.0002444093106529957,0.022214840417718696,False,accuracy,wilcoxon,holm
30,hfl_no_selection,oort,10,13.0,0.16015625,-0.016115865141035635,-0.5272727272727272,-0.035565804892983485,0.0022611285088472255,False,accuracy,wilcoxon,holm
200,hfl_no_reputation,rep_cap,10,13.0,0.16015625,0.004426772671270396,0.5272727272727272,-0.0008833976756301448,0.009539413294463268,False,accuracy,wilcoxon,holm
200,fair_mab,oort,10,13.0,0.16015625,0.004011805421247461,0.5272727272727272,-9.955493001755356e-05,0.008430821516192765,False,accuracy,wilcoxon,holm
200,hfl_no_selection,mozaffari2016,10,13.0,0.16015625,-0.0057163227508058466,-0.5272727272727272,-0.012622152409341626,0.0013719078297075116,False,accuracy,wilcoxon,holm
50,fair_mab,fedcs,10,13.0,0.16015625,-0.015117754106630655,-0.5272727272727272,-0.03077260008804989,-0.00039910877922423794,False,accuracy,wilcoxon,holm
50,alzenad2017,flat_fl,10,13.0,0.16015625,0.005297679537517775,0.5272727272727272,-0.0013500302555754624,0.011282389914305104,False,accuracy,wilcoxon,holm
100,hfl_no_selection,rep_cap,10,13.0,0.16015625,0.007746026378509785,0.5272727272727272,-0.0002661414530565565,0.01597271123619096,False,accuracy,wilcoxon,holm
200,mozaffari2016,proposed_hfl,10,14.0,0.193359375,-0.004448661439840629,-0.4909090909090909,-0.009342881050243853,0.0008579782643962863,False,accuracy,wilcoxon,holm
