N,method_a,method_b,n_pairs,statistic,p_value,mean_diff,significant,metric,test,correction
50,centralized,fair_mab,10,0.0,0.001953125,0.14995690881224746,False,macro_f1,wilcoxon,holm
30,alzenad2017,rep_cap,10,0.0,0.001953125,0.1278846585234002,False,macro_f1,wilcoxon,holm
30,alzenad2017,power_of_choice,10,0.0,0.001953125,0.13031449401727865,False,macro_f1,wilcoxon,holm
50,alzenad2017,power_of_choice,10,0.0,0.001953125,0.08350023658161818,False,macro_f1,wilcoxon,holm
100,alzenad2017,power_of_choice,10,0.0,0.001953125,0.052878681806419345,False,macro_f1,wilcoxon,holm
100,alzenad2017,rep_cap,10,0.0,0.001953125,0.0812066861833098,False,macro_f1,wilcoxon,holm
30,fair_mab,hfl_no_selection,10,1.0,0.00390625,-0.06765416427800798,False,macro_f1,wilcoxon,holm
50,alzenad2017,fair_mab,10,1.0,0.00390625,0.1019062184805801,False,macro_f1,wilcoxon,holm
50,alzenad2017,fedcs,10,1.0,0.00390625,0.05581008472468375,False,macro_f1,wilcoxon,holm
30,hfl_no_selection,oort,10,1.0,0.00390625,0.08738847295281799,False,macro_f1,wilcoxon,holm
30,fedcs,hfl_static,10,1.0,0.00390625,-0.04595612072992167,False,macro_f1,wilcoxon,holm
30,hfl_no_reputation,oort,10,1.0,0.00390625,0.14038741542337071,False,macro_f1,wilcoxon,holm
100,fair_mab,proposed_hfl,10,1.0,0.00390625,-0.06981004083360075,False,macro_f1,wilcoxon,holm
200,hfl_no_selection,rep_cap,10,1.0,0.00390625,-0.037690131094435614,False,macro_f1,wilcoxon,holm
200,fedcs,rep_cap,10,1.0,0.00390625,-0.04479744401091805,False,macro_f1,wilcoxon,holm
50,fedcs,proposed_hfl,10,1.0,0.00390625,-0.07109499896466556,False,macro_f1,wilcoxon,holm
30,flat_fl,hfl_no_reputation,10,1.0,0.00390625,-0.07524159814746194,False,macro_f1,wilcoxon,holm
30,hfl_no_reputation,hfl_no_selection,10,1.0,0.00390625,0.052998942470552736,False,macro_f1,wilcoxon,holm
50,flat_fl,power_of_choice,10,1.0,0.00390625,-0.055280531993081264,False,macro_f1,wilcoxon,holm
50,alzenad2017,oort,10,1.0,0.00390625,0.10009739636022388,False,macro_f1,wilcoxon,holm
100,mozaffari2016,oort,10,1.0,0.00390625,0.03836947379783688,False,macro_f1,wilcoxon,holm
100,oort,proposed_hfl,10,1.0,0.00390625,-0.05321203213929977,False,macro_f1,wilcoxon,holm
100,power_of_choice,proposed_hfl,10,2.0,0.005859375,-0.04707486000224539,False,macro_f1,wilcoxon,holm
50,alzenad2017,hfl_no_selection,10,2.0,0.005859375,0.05948034838309642,False,macro_f1,wilcoxon,holm
30,fair_mab,fedcs,10,2.0,0.005859375,-0.05772728144334162,False,macro_f1,wilcoxon,holm
100,hfl_no_selection,power_of_choice,10,2.0,0.005859375,-0.02395370665392548,False,macro_f1,wilcoxon,holm
100,fair_mab,hfl_static,10,2.0,0.005859375,-0.054349123485544125,False,macro_f1,wilcoxon,holm
100,fair_mab,mozaffari2016,10,2.0,0.005859375,-0.05496748249213786,False,macro_f1,wilcoxon,holm
30,fedcs,hfl_no_reputation,10,2.0,0.005859375,-0.06292582530521909,False,macro_f1,wilcoxon,holm
100,fair_mab,power_of_choice,10,2.0,0.005859375,-0.02273518083135536,False,macro_f1,wilcoxon,holm
200,hfl_no_reputation,power_of_choice,10,3.0,0.009765625,0.01826727186094993,False,macro_f1,wilcoxon,holm
100,hfl_static,oort,10,3.0,0.009765625,0.03775111479124315,False,macro_f1,wilcoxon,holm
200,alzenad2017,rep_cap,10,3.0,0.009765625,0.03217912039712091,False,macro_f1,wilcoxon,holm
100,mozaffari2016,power_of_choice,10,3.0,0.009765625,0.0322323016607825,False,macro_f1,wilcoxon,holm
200,hfl_no_reputation,rep_cap,10,3.0,0.009765625,0.02285414282991819,False,macro_f1,wilcoxon,holm
50,hfl_no_selection,hfl_static,10,3.0,0.009765625,-0.05413222663488169,False,macro_f1,wilcoxon,holm
30,flat_fl,rep_cap,10,3.0,0.009765625,0.046120958020014674,False,macro_f1,wilcoxon,holm
50,fedcs,oort,10,3.0,0.009765625,0.044287311635540144,False,macro_f1,wilcoxon,holm
100,hfl_static,rep_cap,10,3.0,0.009765625,0.059941947031079225,False,macro_f1,wilcoxon,holm
200,alzenad2017,fair_mab,10,3.0,0.009765625,0.018866499962338384,False,macro_f1,wilcoxon,holm
100,hfl_static,power_of_choice,10,4.0,0.013671875,0.03161394265418877,False,macro_f1,wilcoxon,holm
200,proposed_hfl,rep_cap,10,4.0,0.013671875,0.028513662843788156,False,macro_f1,wilcoxon,holm
50,hfl_no_selection,rep_cap,10,5.0,0.01953125,0.057064680759798314,False,macro_f1,wilcoxon,holm
30,alzenad2017,hfl_static,10,5.0,0.01953125,0.023491806931220993,False,macro_f1,wilcoxon,holm
30,fedcs,rep_cap,10,5.0,0.01953125,0.058436730862257535,False,macro_f1,wilcoxon,holm
200,hfl_static,power_of_choice,10,5.0,0.01953125,0.02197986161528647,False,macro_f1,wilcoxon,holm
200,alzenad2017,power_of_choice,10,5.0,0.01953125,0.027592249428152648,False,macro_f1,wilcoxon,holm
30,hfl_no_selection,hfl_static,10,5.0,0.01953125,-0.03602923789525532,False,macro_f1,wilcoxon,holm
200,mozaffari2016,rep_cap,10,5.0,0.01953125,0.016893628842443775,False,macro_f1,wilcoxon,holm
100,alzenad2017,hfl_no_reputation,10,6.0,0.02734375,0.01611094824094672,False,macro_f1,wilcoxon,holm
30,fedcs,power_of_choice,10,6.0,0.02734375,0.060866566356135986,False,macro_f1,wilcoxon,holm
50,hfl_static,mozaffari2016,10,6.0,0.02734375,-0.024587383252267437,False,macro_f1,wilcoxon,holm
50,alzenad2017,mozaffari2016,10,6.0,0.02734375,-0.019239261504052717,False,macro_f1,wilcoxon,holm
100,alzenad2017,mozaffari2016,10,7.0,0.037109375,0.020646380145636845,False,macro_f1,wilcoxon,holm
50,fair_mab,fedcs,10,7.0,0.037109375,-0.04609613375589636,False,macro_f1,wilcoxon,holm
50,hfl_no_selection,oort,10,7.0,0.037109375,0.04061704797712747,False,macro_f1,wilcoxon,holm
100,alzenad2017,hfl_static,10,7.0,0.037109375,0.021264739152230577,False,macro_f1,wilcoxon,holm
200,oort,proposed_hfl,10,8.0,0.048828125,-0.016587906689544112,False,macro_f1,wilcoxon,holm
30,flat_fl,oort,10,8.0,0.048828125,0.06514581727590878,False,macro_f1,wilcoxon,holm
30,flat_fl,hfl_no_selection,10,8.0,0.048828125,-0.022242655676909216,False,macro_f1,wilcoxon,holm
200,hfl_static,oort,10,8.0,0.048828125,0.014640976430010689,False,macro_f1,wilcoxon,holm
50,fair_mab,hfl_no_selection,10,8.0,0.048828125,-0.042425870097483685,False,macro_f1,wilcoxon,holm
100,hfl_no_selection,oort,10,9.0,0.064453125,-0.017816534516871103,False,macro_f1,wilcoxon,holm
200,alzenad2017,oort,10,9.0,0.064453125,0.020253364242876864,False,macro_f1,wilcoxon,holm
200,mozaffari2016,power_of_choice,10,9.0,0.064453125,0.012306757873475516,False,macro_f1,wilcoxon,holm
50,power_of_choice,rep_cap,10,9.0,0.064453125,0.03304479256127655,False,macro_f1,wilcoxon,holm
50,flat_fl,rep_cap,10,9.0,0.064453125,-0.022235739431804707,False,macro_f1,wilcoxon,holm
50,fedcs,power_of_choice,10,9.0,0.064453125,0.027690151856934443,False,macro_f1,wilcoxon,holm
200,fair_mab,proposed_hfl,10,10.0,0.083984375,-0.015201042409005633,False,macro_f1,wilcoxon,holm
50,fair_mab,flat_fl,10,10.0,0.083984375,0.03687455009411934,False,macro_f1,wilcoxon,holm
200,oort,rep_cap,10,10.0,0.083984375,0.011925756154244044,False,macro_f1,wilcoxon,holm
30,flat_fl,power_of_choice,10,10.0,0.083984375,0.04855079351389312,False,macro_f1,wilcoxon,holm
50,hfl_no_reputation,hfl_static,10,10.0,0.083984375,0.021816860586564634,False,macro_f1,wilcoxon,holm
100,fair_mab,oort,10,10.0,0.083984375,-0.016598008694300982,False,macro_f1,wilcoxon,holm
100,power_of_choice,rep_cap,10,10.0,0.083984375,0.028328004376890446,False,macro_f1,wilcoxon,holm
50,hfl_no_selection,power_of_choice,10,11.0,0.10546875,0.02401988819852177,False,macro_f1,wilcoxon,holm
100,fedcs,power_of_choice,10,11.0,0.10546875,-0.022745235563737892,False,macro_f1,wilcoxon,holm
30,hfl_no_reputation,hfl_static,10,11.0,0.10546875,0.016969704575297416,False,macro_f1,wilcoxon,holm
100,hfl_static,proposed_hfl,10,11.0,0.10546875,-0.01546091734805662,False,macro_f1,wilcoxon,holm
50,hfl_static,proposed_hfl,10,11.0,0.10546875,-0.020633035988196536,False,macro_f1,wilcoxon,holm
200,fair_mab,hfl_static,10,11.0,0.10546875,-0.013254112149472207,False,macro_f1,wilcoxon,holm
100,oort,rep_cap,10,12.0,0.130859375,0.02219083223983607,False,macro_f1,wilcoxon,holm
100,mozaffari2016,proposed_hfl,10,12.0,0.130859375,-0.014842558341462886,False,macro_f1,wilcoxon,holm
200,mozaffari2016,proposed_hfl,10,12.0,0.130859375,-0.01162003400134438,False,macro_f1,wilcoxon,holm
100,fedcs,oort,10,12.0,0.130859375,-0.01660806342668351,False,macro_f1,wilcoxon,holm
50,flat_fl,oort,10,12.0,0.130859375,-0.038683372214475556,False,macro_f1,wilcoxon,holm
200,fair_mab,rep_cap,10,12.0,0.130859375,0.013312620434782523,False,macro_f1,wilcoxon,holm
