R_comm,method_a,method_b,n_pairs,statistic,p_value,mean_diff,effect_size,ci_low,ci_high,significant,correction_scope,reference,metric,test,correction
3000.0,mclp_place,centroid_place,10,16.0,0.275390625,-0.03938763316255643,-0.41818181818181815,-0.09254894856200797,-4.430845308405216e-05,False,group,mclp_place,accuracy,wilcoxon,holm
3000.0,mclp_place,cap_kmeans_place,10,16.0,0.275390625,-0.038658956283248204,-0.41818181818181815,-0.09153378210910165,0.0006797340683544221,False,group,mclp_place,accuracy,wilcoxon,holm
2000.0,mclp_place,cap_kmeans_place,10,17.0,0.322265625,-0.05267229502467748,-0.38181818181818183,-0.12506987588126306,0.0007724407589536072,False,group,mclp_place,accuracy,wilcoxon,holm
5000.0,mclp_place,ga_place,10,17.0,0.322265625,-0.016316472051698318,-0.38181818181818183,-0.05999509431946523,0.015275869470548065,False,group,mclp_place,accuracy,wilcoxon,holm
2000.0,mclp_place,mogoa,10,17.0,0.322265625,-0.05291646663340731,-0.38181818181818183,-0.12483099663085871,-0.00014520940146149717,False,group,mclp_place,accuracy,wilcoxon,holm
500.0,mclp_place,gwo_place,10,17.0,0.322265625,-0.08421115443279323,-0.38181818181818183,-0.24385014990383838,0.07643468115469487,False,group,mclp_place,accuracy,wilcoxon,holm
5000.0,mclp_place,random_place,10,18.0,0.375,-0.0038083793240765275,-0.34545454545454546,-0.05354472653018376,0.04228356645992545,False,group,mclp_place,accuracy,wilcoxon,holm
5000.0,mclp_place,ahc_place,10,18.0,0.375,0.016729021981776893,0.34545454545454546,-0.03611522016925029,0.06478752612082876,False,group,mclp_place,accuracy,wilcoxon,holm
500.0,mclp_place,hfl_static,10,18.0,0.375,-0.05250846128405932,-0.34545454545454546,-0.15608110265144934,0.0534602964177923,False,group,mclp_place,accuracy,wilcoxon,holm
4000.0,mclp_place,ahc_place,10,18.0,0.375,0.04205354564699744,0.34545454545454546,-0.02424518701349641,0.11099184047737432,False,group,mclp_place,accuracy,wilcoxon,holm
500.0,mclp_place,moon2022,10,18.0,0.375,-0.07975578830487506,-0.34545454545454546,-0.18390399419713505,0.025534200016749494,False,group,mclp_place,accuracy,wilcoxon,holm
3000.0,mclp_place,flat_fl,10,19.0,0.431640625,0.029432715887536588,0.3090909090909091,-0.02427060665659448,0.07043919318019938,False,group,mclp_place,accuracy,wilcoxon,holm
2000.0,mclp_place,flat_fl,10,19.0,0.431640625,0.016378313428528923,0.3090909090909091,-0.05661016561242896,0.0704136967410958,False,group,mclp_place,accuracy,wilcoxon,holm
3000.0,mclp_place,mogoa,10,20.0,0.4921875,-0.0114327922236508,-0.2727272727272727,-0.08175742945800141,0.06172695336575235,False,group,mclp_place,accuracy,wilcoxon,holm
2000.0,mclp_place,random_place,10,20.0,0.4921875,0.06524870437218487,0.2727272727272727,-0.07053172909680482,0.20221249166636082,False,group,mclp_place,accuracy,wilcoxon,holm
4000.0,mclp_place,flat_fl,10,20.0,0.4921875,0.020641910534338427,0.2727272727272727,-0.02868848337030468,0.060900762034559824,False,group,mclp_place,accuracy,wilcoxon,holm
4000.0,mclp_place,ga_place,10,20.0,0.4921875,-0.02230168922025246,-0.2727272727272727,-0.059261588530003906,0.004973226739633945,False,group,mclp_place,accuracy,wilcoxon,holm
1000.0,mclp_place,hfl_static,10,21.0,0.556640625,0.06732893372436569,0.23636363636363636,-0.12945625316355383,0.25986429546760836,False,group,mclp_place,accuracy,wilcoxon,holm
2000.0,mclp_place,alzenad2017,10,21.0,0.556640625,-0.025769868812860985,-0.23636363636363636,-0.10938896377771834,0.04773378479411833,False,group,mclp_place,accuracy,wilcoxon,holm
3000.0,mclp_place,ga_place,10,22.0,0.625,-0.025870583556754156,-0.2,-0.08548159693654271,0.02326109154054116,False,group,mclp_place,accuracy,wilcoxon,holm
2000.0,mclp_place,moon2022,10,22.0,0.625,0.00885284299043788,0.2,-0.07658855534521986,0.07882717042751652,False,group,mclp_place,accuracy,wilcoxon,holm
500.0,mclp_place,ga_place,10,22.0,0.625,-0.03363041387082479,-0.2,-0.17596828872233997,0.12873372648785314,False,group,mclp_place,accuracy,wilcoxon,holm
1000.0,mclp_place,ga_place,10,23.0,0.6953125,-0.007642677199409581,-0.16363636363636364,-0.2508749675055642,0.2527040633615043,False,group,mclp_place,accuracy,wilcoxon,holm
500.0,mclp_place,proposed_hfl,10,23.0,0.6953125,-0.07998004000399458,-0.16363636363636364,-0.30525255983368144,0.17205208583144424,False,group,mclp_place,accuracy,wilcoxon,holm
4000.0,mclp_place,random_place,10,24.0,0.76953125,-0.003253900571188839,-0.12727272727272726,-0.07846451921053799,0.08041932790295289,False,group,mclp_place,accuracy,wilcoxon,holm
3000.0,mclp_place,hfl_static,10,24.0,0.76953125,0.0054771871501862026,-0.12727272727272726,-0.051067814315257594,0.07874668101711786,False,group,mclp_place,accuracy,wilcoxon,holm
2000.0,mclp_place,ga_place,10,24.0,0.76953125,0.010918054077727867,-0.12727272727272726,-0.10316229973314804,0.13797313143644646,False,group,mclp_place,accuracy,wilcoxon,holm
1000.0,mclp_place,moon2022,10,24.0,0.76953125,-0.008530547589899634,0.12727272727272726,-0.19423116492734932,0.14726784910068821,False,group,mclp_place,accuracy,wilcoxon,holm
1000.0,mclp_place,ahc_place,10,25.0,0.845703125,-0.005146855615584506,0.09090909090909091,-0.1613185206750438,0.14193166914993258,False,group,mclp_place,accuracy,wilcoxon,holm
4000.0,mclp_place,moon2022,10,25.0,0.845703125,0.011780684429300348,0.09090909090909091,-0.06054254346846096,0.07932658551314355,False,group,mclp_place,accuracy,wilcoxon,holm
1000.0,mclp_place,random_place,10,25.0,0.845703125,0.0003169651089943382,0.09090909090909091,-0.17279904085914524,0.17393174020482927,False,group,mclp_place,accuracy,wilcoxon,holm
3000.0,mclp_place,moon2022,10,25.0,0.845703125,-0.008183454576787052,0.09090909090909091,-0.06374515558031393,0.02949964527992289,False,group,mclp_place,accuracy,wilcoxon,holm
500.0,mclp_place,centroid_place,10,25.0,0.845703125,-0.03490307040927344,-0.09090909090909091,-0.21921479651121714,0.13552541145357538,False,group,mclp_place,accuracy,wilcoxon,holm
500.0,mclp_place,random_place,10,26.0,0.921875,-0.06060718281214774,-0.05454545454545454,-0.2538671298433121,0.11384665284520505,False,group,mclp_place,accuracy,wilcoxon,holm
5000.0,mclp_place,hfl_static,10,27.0,1.0,0.024038132420182934,0.01818181818181818,-0.014055265789244348,0.07312990813874433,False,group,mclp_place,accuracy,wilcoxon,holm
2000.0,mclp_place,hfl_static,10,27.0,1.0,0.005993463564394235,0.01818181818181818,-0.056360731587704084,0.06451236942870743,False,group,mclp_place,accuracy,wilcoxon,holm
500.0,mclp_place,spiral_place,10,27.0,1.0,-0.04134884592955241,0.01818181818181818,-0.19468695237626654,0.08532019889647174,False,group,mclp_place,accuracy,wilcoxon,holm
