scenario,method_a,method_b,n_pairs,statistic,p_value,mean_diff,effect_size,ci_low,ci_high,significant,correction_scope,reference,metric,test,correction
epicenter_biased_N250_K10,ga,pso,20,1.0,3.814697265625e-06,-0.08853886588564566,-0.9904761904761905,-0.11849822036909324,-0.06067592533543799,True,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,centroid,static,20,2.0,5.7220458984375e-06,0.09860723015344318,0.9809523809523809,0.07654407127510628,0.11732240254341628,True,table,,final_fitness,wilcoxon,holm
clustered_N250_K10,centroid,pso,20,3.0,9.5367431640625e-06,-0.03940960705135262,-0.9714285714285714,-0.049626878473994794,-0.029540026813099904,True,table,,final_fitness,wilcoxon,holm
real_N250_K10,mozaffari2016,static,20,3.0,9.5367431640625e-06,-0.08449307872934317,-0.9714285714285714,-0.11344431537747911,-0.05704692905623788,True,table,,final_fitness,wilcoxon,holm
clustered_N250_K10,ga,pso,20,5.0,1.9073486328125e-05,-0.0346766472701734,-0.9523809523809523,-0.05255226612449717,-0.019988026795157827,True,table,,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,alzenad2017,mozaffari2016,20,7.0,3.62396240234375e-05,0.12486905602458857,0.9333333333333333,0.08433442418618689,0.16344165201800445,True,table,,final_fitness,wilcoxon,holm
real_N250_K10,centroid,ga,20,7.0,3.62396240234375e-05,-0.046374418180101976,-0.9333333333333333,-0.059759975024205284,-0.03219835244543735,True,table,,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,mozaffari2016,random,20,8.0,4.76837158203125e-05,0.10018883679511208,0.9238095238095239,0.06896407939684704,0.12990312928086736,True,table,,final_fitness,wilcoxon,holm
real_N250_K10,alzenad2017,pso,20,10.0,8.20159912109375e-05,-0.0357409499001767,-0.9047619047619048,-0.04717426613793055,-0.02325643857953123,True,table,,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,ga,static,20,11.0,0.0001049041748046875,0.28298016627062383,0.8952380952380953,0.18461698458148032,0.3747155669300703,True,table,,final_fitness,wilcoxon,holm
clustered_N250_K10,random,static,20,11.0,0.0001049041748046875,0.14325832251749365,0.8952380952380953,0.09429047576530296,0.1876663532383366,True,table,,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,alzenad2017,ga,20,13.0,0.0001678466796875,-0.07574997554194313,-0.8761904761904762,-0.1036079457232022,-0.046684931098967875,True,table,,final_fitness,wilcoxon,holm
real_N250_K10,alzenad2017,centroid,20,13.0,0.0001678466796875,0.025335675759940834,0.8761904761904762,0.015468020245222838,0.03473507408127963,True,table,,final_fitness,wilcoxon,holm
